leixing,nianfen,licheng,didian,shoujia,yuanjia
大众 宝来 2012款 1.4T 手动舒适型,2012年,6.2万公里,大连,4.39万,13.98万
福特 福克斯 2012款 三厢 1.6L 自动舒适型,2014年,10.3万公里,大连,4.80万,14.21万
别克 英朗 2016款 15N 自动进取型,2017年,1.4万公里,大连,6.88万,13.01万
大众POLO 2016款 1.4L 自动风尚型,2017年,1.4万公里,大连,5.85万,9.54万
陆风X7 2015款 2.0T 全景旗舰版,2016年,2.6万公里,大连,7.98万,16.04万
斯柯达 昕锐 2015款 1.6L 自动智选型,2015年,6.7万公里,大连,4.79万,11.50万
大众 途观 2012款 2.0TSI 自动四驱菁英版,2012年,10.0万公里,大连,10.00万,31.13万
雪佛兰 科鲁兹 2009款 1.6L SE AT,2010年,10.6万公里,大连,3.15万,14.43万
雪佛兰 科鲁兹 2012款 1.8L SE AT,2013年,4.6万公里,大连,4.97万,14.86万
陆风X7 2015款 2.0T 全景尊贵版,2017年,2.3万公里,大连,7.00万,15.17万
大众 高尔夫 2010款 1.4TSI 自动舒适型,2009年,10.3万公里,大连,5.00万,16.26万
福特 翼搏 2013款 1.5L 自动风尚型,2013年,7.0万公里,大连,4.63万,12.24万
现代 朗动 2012款 1.6L 手动时尚型,2015年,4.3万公里,大连,4.90万,11.48万
哈弗H6 2012款 1.5T 手动两驱精英型,2013年,11.6万公里,大连,3.30万,12.14万
陆风X7 2015款 2.0T 全景尊贵版,2016年,3.9万公里,大连,6.80万,15.17万
陆风X7 2015款 2.0T 全景旗舰版,2016年,3.0万公里,大连,7.20万,16.04万
哈弗H1 2015款 1.5L AMT豪华型,2015年,2.4万公里,大连,4.38万,8.46万
日产 轩逸 2012款 经典 1.6XE 手动舒适版,2015年,4.6万公里,大连,5.00万,10.83万
大众 捷达 2013款 1.6L 手动舒适型,2013年,5.7万公里,大连,4.20万,10.67万
奥迪Q5 2013款 40 TFSI 技术型,2014年,14.0万公里,大连,18.80万,46.41万
斯柯达 明锐 2010款 1.6L 自动逸俊版,2010年,10.3万公里,大连,4.30万,16.17万
奥迪Q5 2012款 2.0TFSI 技术型,2012年,8.5万公里,大连,15.89万,46.41万
雪佛兰 科鲁兹 2016款 1.5L 自动时尚天窗版,2016年,5.3万公里,大连,6.00万,13.77万
大众 速腾 2014款 1.6L 自动舒适型,2015年,3.9万公里,大连,8.30万,16.37万
雪佛兰 迈锐宝XL 2016款 1.5T 双离合锐驰版,2016年,5.2万公里,大连,10.98万,21.16万
哈弗H6 2012款 1.5T 手动两驱都市型,2012年,9.1万公里,大连,3.50万,10.94万
雪佛兰 科鲁兹 2013款 1.6L SL天地版 MT,2014年,5.5万公里,大连,4.20万,12.36万
奥迪A6L 2009款 2.0 TFSI 自动标准型,2016年,17.3万公里,大连,12.38万,43.20万
中华V5 2012款 1.5T 自动两驱豪华型,2013年,2.6万公里,大连,3.70万,14.96万
宝马3系 2010款 320i豪华型(进口),2010年,9.8万公里,大连,9.40万,40.71万
长城M4 2015款 1.5L AMT豪华型,2015年,3.5万公里,大连,4.10万,8.02万
吉利 帝豪 2015款 三厢 1.5L CVT向上版,2015年,5.6万公里,大连,4.40万,9.86万
别克GL8 2011款 2.4L LT行政版,2012年,9.0万公里,大连,7.80万,26.92万
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,2016年,2.6万公里,大连,11.20万,22.78万
雪铁龙 世嘉 2016款 经典 三厢 1.6L 自动品尚型,2017年,2.4万公里,大连,5.55万,11.27万
日产 逍客 2010款 20X雷 CVT 2WD,2010年,11.9万公里,大连,5.50万,20.49万
现代 朗动 2012款 1.6L 手动领先型,2014年,4.7万公里,大连,5.10万,12.57万
斯柯达 明锐 2012款 1.6L 手动逸俊版,2012年,7.4万公里,大连,3.68万,14.87万
江淮 瑞风S3 2016款 1.5L CVT豪华智能型,2016年,5.0万公里,大连,4.20万,9.20万
荣威750 2011款 1.8T 750S 迅雅版AT,2012年,8.6万公里,大连,4.10万,18.97万
大众 夏朗 2013款 2.0TSI 舒适型(进口),2013年,3.3万公里,大连,14.90万,39.55万
别克 昂科拉 2013款 1.4T 手动两驱进取型,2013年,3.7万公里,大连,5.22万,16.27万
别克GL8 2014款 2.4L 经典版,2016年,3.9万公里,大连,12.80万,22.69万
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,2015年,7.4万公里,大连,7.80万,20.29万
比亚迪 速锐 2012款 1.5TID 自动豪华型,2013年,7.5万公里,大连,3.38万,10.08万
哈弗H1 2016款 蓝标 1.5L AMT豪华型,2015年,3.7万公里,大连,4.80万,8.46万
路虎 发现神行 2016款 2.0T HSE,2016年,3.6万公里,大连,24.23万,50.80万
福特 福克斯 2011款 两厢 1.8L 手动舒适型,2012年,8.9万公里,大连,3.43万,12.46万
