leixing,nianfen,licheng,didian,shoujia,yuanjia,brand
大众 宝来 2012款 1.4T 手动舒适型,2012年,6.2万公里,大连,4.39万,13.98万,大众
福特 福克斯 2012款 三厢 1.6L 自动舒适型,2014年,10.3万公里,大连,4.80万,14.21万,福特
别克 英朗 2016款 15N 自动进取型,2017年,1.4万公里,大连,6.88万,13.01万,别克
大众POLO 2016款 1.4L 自动风尚型,2017年,1.4万公里,大连,5.85万,9.54万,大众
陆风X7 2015款 2.0T 全景旗舰版,2016年,2.6万公里,大连,7.98万,16.04万,陆风
斯柯达 昕锐 2015款 1.6L 自动智选型,2015年,6.7万公里,大连,4.79万,11.50万,斯柯达
大众 途观 2012款 2.0TSI 自动四驱菁英版,2012年,10.0万公里,大连,10.00万,31.13万,大众
雪佛兰 科鲁兹 2009款 1.6L SE AT,2010年,10.6万公里,大连,3.15万,14.43万,雪佛兰
雪佛兰 科鲁兹 2012款 1.8L SE AT,2013年,4.6万公里,大连,4.97万,14.86万,雪佛兰
陆风X7 2015款 2.0T 全景尊贵版,2017年,2.3万公里,大连,7.00万,15.17万,陆风
大众 高尔夫 2010款 1.4TSI 自动舒适型,2009年,10.3万公里,大连,5.00万,16.26万,大众
福特 翼搏 2013款 1.5L 自动风尚型,2013年,7.0万公里,大连,4.63万,12.24万,福特
现代 朗动 2012款 1.6L 手动时尚型,2015年,4.3万公里,大连,4.90万,11.48万,现代
哈弗H6 2012款 1.5T 手动两驱精英型,2013年,11.6万公里,大连,3.30万,12.14万,哈弗
陆风X7 2015款 2.0T 全景尊贵版,2016年,3.9万公里,大连,6.80万,15.17万,陆风
陆风X7 2015款 2.0T 全景旗舰版,2016年,3.0万公里,大连,7.20万,16.04万,陆风
哈弗H1 2015款 1.5L AMT豪华型,2015年,2.4万公里,大连,4.38万,8.46万,哈弗
日产 轩逸 2012款 经典 1.6XE 手动舒适版,2015年,4.6万公里,大连,5.00万,10.83万,日产
大众 捷达 2013款 1.6L 手动舒适型,2013年,5.7万公里,大连,4.20万,10.67万,大众
奥迪Q5 2013款 40 TFSI 技术型,2014年,14.0万公里,大连,18.80万,46.41万,奥迪
斯柯达 明锐 2010款 1.6L 自动逸俊版,2010年,10.3万公里,大连,4.30万,16.17万,斯柯达
奥迪Q5 2012款 2.0TFSI 技术型,2012年,8.5万公里,大连,15.89万,46.41万,奥迪
雪佛兰 科鲁兹 2016款 1.5L 自动时尚天窗版,2016年,5.3万公里,大连,6.00万,13.77万,雪佛兰
大众 速腾 2014款 1.6L 自动舒适型,2015年,3.9万公里,大连,8.30万,16.37万,大众
雪佛兰 迈锐宝XL 2016款 1.5T 双离合锐驰版,2016年,5.2万公里,大连,10.98万,21.16万,雪佛兰
哈弗H6 2012款 1.5T 手动两驱都市型,2012年,9.1万公里,大连,3.50万,10.94万,哈弗
雪佛兰 科鲁兹 2013款 1.6L SL天地版 MT,2014年,5.5万公里,大连,4.20万,12.36万,雪佛兰
奥迪A6L 2009款 2.0 TFSI 自动标准型,2016年,17.3万公里,大连,12.38万,43.20万,奥迪
中华V5 2012款 1.5T 自动两驱豪华型,2013年,2.6万公里,大连,3.70万,14.96万,中华
宝马3系 2010款 320i豪华型(进口),2010年,9.8万公里,大连,9.40万,40.71万,宝马
长城M4 2015款 1.5L AMT豪华型,2015年,3.5万公里,大连,4.10万,8.02万,长城
吉利 帝豪 2015款 三厢 1.5L CVT向上版,2015年,5.6万公里,大连,4.40万,9.86万,吉利
别克GL8 2011款 2.4L LT行政版,2012年,9.0万公里,大连,7.80万,26.92万,别克
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,2016年,2.6万公里,大连,11.20万,22.78万,雪佛兰
雪铁龙 世嘉 2016款 经典 三厢 1.6L 自动品尚型,2017年,2.4万公里,大连,5.55万,11.27万,雪铁龙
日产 逍客 2010款 20X雷 CVT 2WD,2010年,11.9万公里,大连,5.50万,20.49万,日产
现代 朗动 2012款 1.6L 手动领先型,2014年,4.7万公里,大连,5.10万,12.57万,现代
斯柯达 明锐 2012款 1.6L 手动逸俊版,2012年,7.4万公里,大连,3.68万,14.87万,斯柯达
江淮 瑞风S3 2016款 1.5L CVT豪华智能型,2016年,5.0万公里,大连,4.20万,9.20万,江淮
荣威750 2011款 1.8T 750S 迅雅版AT,2012年,8.6万公里,大连,4.10万,18.97万,荣威
大众 夏朗 2013款 2.0TSI 舒适型(进口),2013年,3.3万公里,大连,14.90万,39.55万,大众
别克 昂科拉 2013款 1.4T 手动两驱进取型,2013年,3.7万公里,大连,5.22万,16.27万,别克
别克GL8 2014款 2.4L 经典版,2016年,3.9万公里,大连,12.80万,22.69万,别克
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,2015年,7.4万公里,大连,7.80万,20.29万,雪佛兰
比亚迪 速锐 2012款 1.5TID 自动豪华型,2013年,7.5万公里,大连,3.38万,10.08万,比亚迪
哈弗H1 2016款 蓝标 1.5L AMT豪华型,2015年,3.7万公里,大连,4.80万,8.46万,哈弗
路虎 发现神行 2016款 2.0T HSE,2016年,3.6万公里,大连,24.23万,50.80万,路虎
福特 福克斯 2011款 两厢 1.8L 手动舒适型,2012年,8.9万公里,大连,3.43万,12.46万,福特
大众 迈腾 2009款 2.0TSI DSG豪华型,2010年,10.2万公里,大连,6.29万,28.63万,大众
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,2016年,5.0万公里,大连,26.80万,32.00万,丰田
陆风X7 2015款 2.0T 全景尊贵版,2016年,4.1万公里,大连,7.00万,15.17万,陆风
福特 福克斯 2015款 两厢 1.6L 自动风尚型,2016年,5.7万公里,大连,7.00万,14.85万,福特
别克GL8 2014款 2.4L 舒适版,2017年,3.1万公里,大连,12.80万,24.75万,别克
长安 逸动 2015款 1.6L 手动豪华型 国V,2016年,5.4万公里,大连,4.20万,8.78万,长安
Jeep 指南者 2011款 2.4L 四驱豪华导航版(进口),2011年,9.7万公里,大连,6.40万,29.62万,Jeep
传祺GS4 2015款 200T G-DCT舒适版,2016年,4.0万公里,大连,6.30万,12.57万,传祺
福特 福克斯 2012款 三厢 1.6L 自动风尚型,2014年,9.7万公里,大连,5.88万,15.62万,福特
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2018年,1.2万公里,大连,7.88万,13.56万,大众
比亚迪S6 2013款 劲悦版 2.0L 手动精英型 5座,2013年,6.0万公里,大连,3.00万,9.76万,比亚迪
福特 福睿斯 2015款 1.5L 自动时尚型,2015年,8.0万公里,大连,5.00万,13.00万,福特
马自达3 2009款 1.6L 自动天窗版,2010年,6.9万公里,大连,3.50万,13.98万,马自达
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,2016年,6.0万公里,大连,补贴后8.00万,,马自达
大众 朗逸 2011款 1.6L 自动品雅版,2010年,10.5万公里,大连,3.90万,14.63万,大众
雪佛兰 科鲁兹 2013款 1.8L SE AT,2014年,6.0万公里,大连,5.50万,14.86万,雪佛兰
福特 蒙迪欧 2013款 2.0L GTDi200豪华型,2016年,5.7万公里,大连,12.50万,24.18万,福特
哈弗H1 2016款 改款 蓝标 1.5L AMT舒适型,2017年,1.8万公里,大连,4.71万,8.02万,哈弗
雪铁龙C4L 2013款 1.6THP 自动劲享版,2013年,10.1万公里,大连,4.88万,17.57万,雪铁龙
别克 英朗 2010款 GT 1.6L 手动进取版,2010年,10.3万公里,大连,3.38万,14.95万,别克
福特 蒙迪欧-致胜 2010款 2.3L 豪华型,2010年,14.4万公里,大连,4.30万,21.69万,福特
日产 轩逸 2012款 经典 1.6XE 自动舒适版,2015年,5.8万公里,大连,6.30万,11.92万,日产
福特 福克斯 2012款 两厢经典 1.8L 自动基本型,2013年,5.6万公里,大连,4.70万,11.92万,福特
斯柯达 明锐 2015款 1.6L 自动逸俊版,2014年,8.0万公里,大连,5.80万,16.49万,斯柯达
大众 宝来 2011款 1.4T AT Sportline,2011年,11.5万公里,大连,4.87万,15.93万,大众
标致408 2014款 1.8L 手动领先版,2015年,3.7万公里,大连,5.88万,14.08万,标致
大众CC 2015款 1.8TSI 豪华型,2015年,5.3万公里,大连,15.18万,29.18万,大众
大众 朗逸 2015款 1.6L 自动风尚版,2016年,4.4万公里,大连,7.38万,13.23万,大众
众泰SR7 2016款 1.5T CVT魔方之心版 国V,2016年,6.5万公里,大连,5.20万,11.72万,众泰
大众 朗逸 2013款 改款经典 1.6L 手动风尚版,2013年,10.0万公里,大连,4.30万,12.25万,大众
大众 途观 2016款 300TSI 自动两驱豪华版,2016年,4.5万公里,大连,15.20万,28.20万,大众
别克GL8 2011款 2.4L LT行政版,2012年,10.2万公里,大连,9.42万,26.92万,别克
福特 翼虎 2013款 1.6L GTDi 两驱舒适型,2014年,4.7万公里,大连,8.34万,21.04万,福特
别克 昂科拉 2013款 1.4T 自动两驱领先型,2013年,8.1万公里,大连,5.50万,19.20万,别克
别克 凯越 2011款 1.6LX-AT,2012年,8.8万公里,大连,3.20万,11.39万,别克
斯柯达 昕锐 2013款 1.6L 手动智选型,2014年,9.2万公里,大连,3.80万,10.41万,斯柯达
雪佛兰 创酷 2016款 1.4T 自动两驱舒适天窗版,2015年,5.4万公里,大连,6.40万,13.23万,雪佛兰
雪佛兰 创酷 2014款 1.4T 自动两驱豪华型,2015年,6.1万公里,大连,6.25万,14.53万,雪佛兰
别克 英朗 2016款 15N 自动进取型,2016年,6.9万公里,大连,6.70万,13.01万,别克
菲亚特 菲翔 2012款 1.4T 自动劲享版,2014年,5.8万公里,大连,5.20万,15.07万,菲亚特
雪佛兰 科鲁兹 2013款 1.6L SE MT,2012年,11.7万公里,大连,3.50万,13.01万,雪佛兰
起亚K2 2015款 三厢 1.4L MT GLS,2016年,5.7万公里,大连,4.30万,8.46万,起亚
大众 凌渡 2015款 330TSI DSG舒适版,2015年,12.1万公里,大连,9.33万,21.16万,大众
雪佛兰 科鲁兹 2013款 1.8L SE AT,2014年,3.5万公里,大连,5.55万,14.86万,雪佛兰
别克 君威 2012款 2.0L 舒适版,2013年,6.8万公里,大连,6.50万,20.18万,别克
大众 速腾 2014款 改款 1.6L 自动舒适型,2014年,6.2万公里,大连,7.60万,16.37万,大众
雪佛兰 科鲁兹 2009款 1.6L SE AT,2010年,7.6万公里,大连,3.10万,14.43万,雪佛兰
纳智捷 优6 SUV 2014款 1.8T 时尚型,2015年,5.9万公里,大连,6.10万,16.26万,纳智捷
东风风神AX7 2015款 2.0L 自动智逸型,2015年,1.4万公里,大连,7.60万,15.16万,东风风神
斯巴鲁 森林人 2011款 2.5XS 自动豪华版,2012年,8.0万公里,大连,9.60万,29.29万,斯巴鲁
大众 朗逸 2011款 1.6L 自动品悠版,2010年,3.9万公里,大连,4.15万,13.55万,大众
